,Image,Text_Description
46,https://images-na.ssl-images-amazon.com/images/I/41NtDcWj7SL.jpg,"Barbie Babysitters Inc. Popcorn Set|Toys & Games |Play out babysitting stories with these Barbie that come with themed babysitting suppliesChoose from dolls with different looks and different accessoriesEach doll wears a casual outfit with a matching pair of shoes and comes with five additional piecesAccessories include items like a bottle, cell phone and list, plus a unique food piece and a popular childs toy|$9.93"
47,https://images-na.ssl-images-amazon.com/images/I/31aySv2AslL.jpg,"Losi Ride Height Gauge, LOSA99173|Toys & Games |Rugged construction ensures the gauge will not fail or break easily|$11.99"
48,https://images-na.ssl-images-amazon.com/images/I/61Dh3Liw2dL.jpg,Melissa & Doug Disney Cinderella Rags to Riches Wooden Magnetic Game With 10 Magnetic Pieces and Wand|Toys & Games ||$11.12
49,https://images-na.ssl-images-amazon.com/images/I/41rulumRSTL.jpg,"VTech Twist and Hug Koala Rattle|Toys & Games |Press the twinkling heart button to trigger phrases about feelings, fun facts about the koala, silly sounds and entertaining music and songsYour little one will be delighted when shaking the adorable koala, hearing playful sounds and short tunesTwisting the koala's colorful textured ears develop motor skills and promote tactile stimulationEasy-grasp textured handle is perfectly sized for little ones to hold and shake, plus it's great for on-the-go play|$7.99"
51,https://images-na.ssl-images-amazon.com/images/I/41V2T9EMMJL.jpg,"Marvel Avengers Assemble Captain America Costume T-Shirt with Mask, Small|Clothing, Shoes & Jewelry |100 CottonMarvel Avengers Assemble Captain America Costume T-Shirt with Mask, SmallPrinted shirt and molded half-mask|$10.36"
52,https://images-na.ssl-images-amazon.com/images/I/4184h6kKK7L.jpg,"Vallejo Game Color Sunblast Yellow Paint, 17ml|Toys & Games |16 highly pigmented acrylic colors formulated to provide especially mat and opaque coatings|$3.06"
53,https://images-na.ssl-images-amazon.com/images/I/41-DrZEjVaL.jpg,"Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll|Toys & Games |6 FEET OF FUN: The innovatively designed Unicorn Magic Activity Roll is 6 long x 7 wide for long-lasting fun Kids will be surprised as they unroll each section to see a new activity. Do one at a time or pull out the entire roll for a fun group project.CREATIVE PLAY: Kids ages 4 and up will love the unicorn-themed activities including coloring, mazes, spot the difference, and more Each activity sheet is perforated to complete one at a time, take along with you or display proudly on the wall.INCLUDES COLORED PENCILS: The fun roll of activities is ready to use as soon as you open the box Five bright colored pencils in blue, pink, orange, purple, and yellow are included to create hours of unicorn artwork.TAKE IT WITH YOU: Cleanup and storage could not be easier because the self-contained unicorn activity paper easily rolls back inside the 8 x 8 x 2 box after kids are done playing. Great size to take with you for artistic time away from home.|$6.99"
54,https://images-na.ssl-images-amazon.com/images/I/41M2zyAIx0L.jpg,Top Trumps Liverpool FC 18/19 Card Game|Toys & Games ||$6.11
55,https://images-na.ssl-images-amazon.com/images/I/41XFzOI48fL.jpg,"Hot Wheels Track Builder Straight Track with Car AND Hot Wheels Race Case Track Set|Toys & Games |Cool combination of Hot Wheels track and one car for big customizing funIncludes 18 track connectors: an assortment of 9-inch track, 12-inch track, and track connectorsRace and rank your favorite Hot Wheels vehicles|$19.98"
58,https://images-na.ssl-images-amazon.com/images/I/615u%2Bwxoh6L.jpg,"LeapFrog LeapStart Preschool 4-in-1 Activity Book Bundle with ABC, Shapes & Colors, Math, Animals|Toys & Games |Includes alphabet adventures with music, Scout & friends math with problem solving, shapes & colors with creativity, and the world of baby animals life science and memory skills perfect for ages 2-4Alphabet adventures: teaches 14 alphabet and music skills including uppercase and lowercase letters, letter sounds, exploring music and rhythms also includes a spinning dial that teaches vowel soundsScout & friends math: teaches 12 preschool math and problem solving skills, such as matching quantities to numbers, counting to 10, comparing sets of objectsShapes & colors: teaches 14 shapes, colors and creativity skills, matching shapes, identifying and extending patterns, creating rhythms and more|$38.33"
